landmarkID,url,actual_latitude,actual_longitude,noise_lat,noise_long
2474,/TrainingData/GoogleDataset/photos/2474/4072182eddd0100e.jpg,51.6853,-2.5436,51.68557,-2.543647
137184,/TrainingData/GoogleDataset/photos/137184/6ef0ed57a119c498.jpg,50.55,-2.44,50.55025,-2.4396641
23777,/TrainingData/GoogleDataset/photos/23777/cdb6c3ae1a19c63f.jpg,51.5055,-0.075406,51.505775,-0.07583832
99943,/TrainingData/GoogleDataset/photos/99943/c252cfb9e08bf40a.jpg,53.4003,-2.9927,53.400127,-2.992988
82734,/TrainingData/GoogleDataset/photos/82734/0642e6887d841f2d.jpg,51.15,1.32,51.15032,1.3201869
165596,/TrainingData/GoogleDataset/photos/165596/f268f0071c1cd65b.jpg,55.9487,-3.20073,55.94856,-3.2012231
25602,/TrainingData/GoogleDataset/photos/25602/a0c2daa475ca0aa8.jpg,51.7361,-5.2963,51.735737,-5.295809
137184,/TrainingData/GoogleDataset/photos/137184/15cfe75ed09a8387.jpg,50.55,-2.44,50.550327,-2.4398758
108972,/TrainingData/GoogleDataset/photos/108972/1f387b86d14fd05c.jpg,52.5648,-0.355,52.565186,-0.35496908
16658,/TrainingData/GoogleDataset/photos/16658/0bde515b84c2b391.jpg,53.3722,-6.2778,53.371937,-6.2779
14559,/TrainingData/GoogleDataset/photos/14559/b00a53246a0898f0.jpg,51.79,-2.54,51.789852,-2.5399783
127516,/TrainingData/GoogleDataset/photos/127516/bba39914defa5ca0.jpg,50.4833,-4.0333,50.483578,-4.032746
167702,/TrainingData/GoogleDataset/photos/167702/4787b77177b0c828.jpg,50.3644,-4.1422,50.364132,-4.142324
90396,/TrainingData/GoogleDataset/photos/90396/7b38a3fa5b58466c.jpg,51.1788,-1.8262,51.178856,-1.8261124
132053,/TrainingData/GoogleDataset/photos/132053/ee5c69914344a23c.jpg,53.5152,-1.3689,53.515137,-1.3692412
73772,/TrainingData/GoogleDataset/photos/73772/ee5b19d9c1eafb69.jpg,52.8,-2,52.80015,-1.9992754
82734,/TrainingData/GoogleDataset/photos/82734/d1e76e60a94cfd86.jpg,51.15,1.32,51.150043,1.3197801
67480,/TrainingData/GoogleDataset/photos/67480/2bba0e584f4b09b3.jpg,53.8392,-0.4247,53.839077,-0.42421043
90396,/TrainingData/GoogleDataset/photos/90396/02fe92a9489014fe.jpg,51.1788,-1.8262,51.17919,-1.8255749
14559,/TrainingData/GoogleDataset/photos/14559/c36c08f16255af3d.jpg,51.79,-2.54,51.78994,-2.5402331
112907,/TrainingData/GoogleDataset/photos/112907/0e73149dc39408c5.jpg,51.1772,-0.3758,51.177193,-0.37638128
22130,/TrainingData/GoogleDataset/photos/22130/9c8a6cea412dd731.jpg,55.67806,-1.79556,55.677845,-1.7955227
38069,/TrainingData/GoogleDataset/photos/38069/bf80dd80394bfa9f.jpg,52.2013,-2.4586,52.201706,-2.4588876
73304,/TrainingData/GoogleDataset/photos/73304/eaeb3461f7737367.jpg,52.9361,-9.4708,52.936287,-9.471249
76038,/TrainingData/GoogleDataset/photos/76038/c43b629d311dee5c.jpg,51.507328,-0.169644,51.507736,-0.16996315
126721,/TrainingData/GoogleDataset/photos/126721/c183f63fa8cc154c.jpg,53.3706,-1.8168,53.37093,-1.8170351
26028,/TrainingData/GoogleDataset/photos/26028/4b88382344b27f9f.jpg,51.5386,-0.0164,51.538654,-0.015787767
51655,/TrainingData/GoogleDataset/photos/51655/6f94a4baa0a72cba.jpg,50.63,-3.43,50.630287,-3.429932
44338,/TrainingData/GoogleDataset/photos/44338/de03a3f880f4d868.jpg,57.525,-6.358,57.525154,-6.358401
141843,/TrainingData/GoogleDataset/photos/141843/2410ac29ba017cb1.jpg,51.5,0.05,51.499916,0.049877543
130282,/TrainingData/GoogleDataset/photos/130282/cb114df910854617.jpg,52.0931,0.1294,52.092834,0.1286901
44338,/TrainingData/GoogleDataset/photos/44338/a5df5d4401d0d032.jpg,57.525,-6.358,57.525055,-6.358793
90966,/TrainingData/GoogleDataset/photos/90966/88a64c9dd6a515ab.jpg,51.6971,-2.67722,51.697357,-2.6777894
198680,/TrainingData/GoogleDataset/photos/198680/8c38874f6221a682.jpg,51.375,-2.3022,51.37475,-2.302306
73772,/TrainingData/GoogleDataset/photos/73772/3cdd28b6cb32d8e5.jpg,52.8,-2,52.799835,-1.9997278
147828,/TrainingData/GoogleDataset/photos/147828/c1c5c7d1d0548c70.jpg,55.217,-4.017,55.217125,-4.017787
137184,/TrainingData/GoogleDataset/photos/137184/c7f746f5892ea6e7.jpg,50.55,-2.44,50.54986,-2.4404936
96420,/TrainingData/GoogleDataset/photos/96420/64bcf7d6b2e4e2ed.jpg,53.1651,0.0169,53.165215,0.017344614
144313,/TrainingData/GoogleDataset/photos/144313/5d9177cc9f945583.jpg,55.965,-3.21,55.96473,-3.2106879
73772,/TrainingData/GoogleDataset/photos/73772/d240ec69b446f80f.jpg,52.8,-2,52.80017,-2.0006142
169349,/TrainingData/GoogleDataset/photos/169349/af62b0b7d423acc9.jpg,54.8819,-1.6583,54.881775,-1.6582173
75930,/TrainingData/GoogleDataset/photos/75930/7ba6fbccd477ca32.jpg,53.28,-3.83,53.280037,-3.830491
14559,/TrainingData/GoogleDataset/photos/14559/0a3bf1d746af4c1c.jpg,51.79,-2.54,51.790096,-2.5394092
14559,/TrainingData/GoogleDataset/photos/14559/fde65ac767cc611a.jpg,51.79,-2.54,51.7899,-2.5393503
46500,/TrainingData/GoogleDataset/photos/46500/6ade2b8277d715e1.jpg,52.763,-1.237,52.763294,-1.2372925
192349,/TrainingData/GoogleDataset/photos/192349/2ada4374a93389aa.jpg,51.576054,-3.220333,51.576458,-3.2208524
22130,/TrainingData/GoogleDataset/photos/22130/714bdab84614f90a.jpg,55.67806,-1.79556,55.678307,-1.7950203
79836,/TrainingData/GoogleDataset/photos/79836/34da79f4d226fd07.jpg,51.463,-3.164,51.463367,-3.1644254
126721,/TrainingData/GoogleDataset/photos/126721/288d6895619c26d9.jpg,53.3706,-1.8168,53.37016,-1.8161408
16658,/TrainingData/GoogleDataset/photos/16658/15caf8c72476aa7d.jpg,53.3722,-6.2778,53.371986,-6.2781878
89794,/TrainingData/GoogleDataset/photos/89794/6425aa5616c7f868.jpg,51.770298,-2.850063,51.770332,-2.8503737
147828,/TrainingData/GoogleDataset/photos/147828/8e6f43c193f4e98f.jpg,55.217,-4.017,55.216614,-4.0176144
165596,/TrainingData/GoogleDataset/photos/165596/51ca588eb0559dc5.jpg,55.9487,-3.20073,55.94838,-3.2009299
164562,/TrainingData/GoogleDataset/photos/164562/89ab48ede3771f56.jpg,53.0089,-6.4653,53.00934,-6.4650464
66119,/TrainingData/GoogleDataset/photos/66119/7bcfeb84804d9b31.jpg,50.6147,-3.425,50.614285,-3.4248116
112907,/TrainingData/GoogleDataset/photos/112907/c1e201343251f15f.jpg,51.1772,-0.3758,51.176876,-0.37603784
31531,/TrainingData/GoogleDataset/photos/31531/f3d8b33b54ecfe32.jpg,50.705555,-2.989889,50.705585,-2.9900897
147828,/TrainingData/GoogleDataset/photos/147828/7c62a19360c94f89.jpg,55.217,-4.017,55.21696,-4.0172615
46500,/TrainingData/GoogleDataset/photos/46500/24f36b83f5b286b1.jpg,52.763,-1.237,52.763355,-1.2362977
118783,/TrainingData/GoogleDataset/photos/118783/0a0607a7d4ab0637.jpg,53.41431,-2.15667,53.414234,-2.1571584
25602,/TrainingData/GoogleDataset/photos/25602/ef36050696467afc.jpg,51.7361,-5.2963,51.73642,-5.2969275
2474,/TrainingData/GoogleDataset/photos/2474/6aaab6526af7e79d.jpg,51.6853,-2.5436,51.68498,-2.5436664
165596,/TrainingData/GoogleDataset/photos/165596/6450a01096fdfb19.jpg,55.9487,-3.20073,55.948376,-3.2004905
